Date,School Day,Steps,Number of Classes,Weather,Caffine (mg),Temp (F)
4/21/2025,yes,"5,099",1,partly cloudy,0,61
4/22/2025,yes,"11,729",2,cloudy,150,57
4/23/2025,yes,"7,045",2,cloudy,64,65
4/24/2025,yes,"8,757",5,cloudy,150,64
4/25/2025,yes,"5,210",2,partly cloudy,150,63
4/26/2025,no,"19,767",0,rain,128,59
4/27/2025,no,"10,019",0,partly cloudy,64,62
4/28/2025,yes,"6,083",1,partly cloudy,150,62
4/29/2025,yes,"9,042",2,sunny,150,62
4/30/2025,yes,"3,798",2,cloudy,0,58
5/1/2025,yes,"8,206",5,cloudy,64,58
5/2/2025,yes,"5,413",2,cloudy,293,66
5/3/2025,no,"18,981",0,cloudy,150,65
5/4/2025,no,"9,784",0,partly cloudy,150,66
5/5/2025,yes,"5,906",1,party cloudy,150,64
5/6/2025,yes,"9,348",2,cloudy,150,63
5/7/2025,yes,"6,290",2,partly cloudy,150,62
5/8/2025,yes,"6,710",5,partly cloudy,0,66
5/9/2025,yes,"11,177",2,foggy,0,76
5/10/2025,no,"14,973",0,sunny,0,76
5/11/2025,no,"30,659",0,sunny,0,79
5/12/2025,yes,"6,325",1,windy,0,70
5/13/2025,yes,"17,584",2,windy,150,70
5/14/2025,yes,"6,581",2,sunny,150,73
5/15/2025,yes,"10,238",5,sunny,54,66
5/16/2025,yes,"6,134",2,partly cloudy,150,65
5/17/2025,no,"7,956",0,partly cloudy,150,70
5/18/2025,no,"14,024",0,sunny,150,68
5/19/2025,yes,"4,009",1,sunny,0,72
5/20/2025,yes,"7,226",2,sunny,0,76
5/21/2025,yes,"18,363",2,sunny,150,74
5/22/2025,yes,"7,395",5,party cloudy,300,70
5/23/2025,yes,"11,114",2,party cloudy,150,71
5/24/2025,no,"9,621",0,party cloudy,0,69
5/25/2025,no,"6,269",0,party cloudy,150,68
5/26/2025,no,"3,434",0,party cloudy,150,68
,,,,,,
